,City Name,Country Name,Latitude,Longitude,Date,Max Temperature,Wind Speed,Cloudiness,Humidity
0,polessk,RU,54.862,21.1028,1655305603,62.65,11.97,46,71
1,kaka,TM,37.3482,59.6143,1655305604,97.29,10.04,65,18
2,warrnambool,AU,-38.3833,142.4833,1655305604,55.81,21.09,98,91
3,port alfred,ZA,-33.5906,26.891,1655305605,55.33,26.28,85,69
4,abha,SA,18.2164,42.5053,1655305558,84.45,17.27,40,7
5,yeppoon,AU,-23.1333,150.7333,1655305605,64.18,5.64,100,85
6,acapulco,MX,16.8634,-99.8901,1655305360,76.82,11.5,100,94
7,tuatapere,NZ,-46.1333,167.6833,1655305605,44.51,8.3,71,89
8,bambous virieux,MU,-20.3428,57.7575,1655305606,71.22,19.98,42,78
9,cherskiy,RU,68.75,161.3,1655305606,51.03,6.58,0,47
10,punta arenas,CL,-53.15,-70.9167,1655305607,42.91,12.66,75,75
11,rikitea,PF,-23.1203,-134.9692,1655305607,72.59,7.54,91,70
12,yellowknife,CA,62.456,-114.3525,1655305607,65.5,3.76,100,44
13,kaitangata,NZ,-46.2817,169.8464,1655305608,44.38,11.7,51,85
14,velingara,SN,13.15,-14.1167,1655305608,90.3,6.42,99,51
15,nadym,RU,65.5333,72.5167,1655305609,58.86,16.28,100,56
16,gallup,US,35.5281,-108.7426,1655305609,70.56,4.61,0,21
17,ushuaia,AR,-54.8,-68.3,1655305609,42.46,5.75,75,70
18,hithadhoo,MV,-0.6,73.0833,1655305610,83.19,5.55,46,69
19,cockburn town,TC,21.4612,-71.1419,1655305610,82.36,16.11,40,69
20,caravelas,BR,-17.7125,-39.2481,1655305611,75.61,7.16,90,54
21,kavali,IN,14.9167,79.9833,1655305611,92.3,8.41,43,45
22,inirida,CO,3.8653,-67.9239,1655305611,72.0,1.28,100,97
23,cape town,ZA,-33.9258,18.4232,1655305612,62.38,3.0,22,61
24,pavlohrad,UA,48.5167,35.8667,1655305612,64.29,5.57,84,71
25,lebu,CL,-37.6167,-73.65,1655305612,51.6,4.38,37,86
26,new norfolk,AU,-42.7826,147.0587,1655305613,45.91,1.81,100,89
27,honiara,SB,-9.4333,159.95,1655305613,76.73,7.54,89,87
28,tasiilaq,GL,65.6145,-37.6368,1655305613,41.16,9.51,100,98
29,tilichiki,RU,60.4667,166.1,1655305614,43.05,4.94,22,87
30,baft,IR,29.234,56.6057,1655305614,85.08,3.49,89,12
31,bluff,NZ,-46.6,168.3333,1655305615,45.81,26.11,100,82
32,hofn,IS,64.2539,-15.2082,1655305615,53.62,4.61,100,87
33,kahului,US,20.8947,-156.47,1655305615,76.84,11.5,100,78
34,slave lake,CA,55.2834,-114.769,1655305616,57.18,16.11,100,72
35,saint-philippe,RE,-21.3585,55.7679,1655305616,72.99,14.67,37,86
36,kodiak,US,57.79,-152.4072,1655305616,51.31,6.91,100,87
37,ponta do sol,PT,32.6667,-17.1,1655305617,75.0,13.96,22,80
38,burns lake,CA,54.2331,-125.7533,1655305617,52.63,3.47,0,61
39,labuhan,ID,-6.8844,112.2051,1655305618,79.92,8.19,81,86
40,cidreira,BR,-30.1811,-50.2056,1655305618,63.95,1.54,12,68
41,albany,US,42.6001,-73.9662,1655305366,78.67,4.18,59,59
42,mataura,NZ,-46.1927,168.8643,1655305619,45.48,7.23,87,92
43,puerto ayora,EC,-0.7393,-90.3518,1655305619,76.96,3.0,93,92
44,korla,CN,41.7597,86.1469,1655305619,89.82,6.8,33,7
45,jining,CN,35.405,116.5814,1655305620,80.67,8.21,7,39
46,busselton,AU,-33.65,115.3333,1655305620,60.78,10.47,49,83
47,chapais,CA,49.7834,-74.8492,1655305620,74.41,9.66,69,34
48,kapaa,US,22.0752,-159.319,1655305621,75.18,4.61,40,97
49,normandin,CA,48.8333,-72.5321,1655305621,71.42,5.73,1,55
50,bambanglipuro,ID,-7.95,110.2833,1655305622,77.61,4.54,98,87
51,pochutla,MX,15.7432,-96.4661,1655305622,75.02,4.16,100,92
52,aklavik,CA,68.2191,-135.0107,1655305622,50.56,6.6,28,52
53,grand-lahou,CI,5.1367,-5.0242,1655305623,76.03,11.32,100,92
54,elsterwerda,DE,51.45,13.5333,1655305623,83.43,2.39,13,30
55,vaini,TO,-21.2,-175.2,1655305624,71.76,4.61,75,88
56,itarema,BR,-2.9248,-39.9167,1655304859,84.24,12.95,10,56
57,avarua,CK,-21.2078,-159.775,1655305624,75.25,5.75,70,83
58,hobart,AU,-42.8794,147.3294,1655305480,46.26,0.0,100,95
59,lorengau,PG,-2.0226,147.2712,1655305625,81.84,7.61,93,75
60,komsomolskiy,UZ,40.4272,71.7189,1655305625,83.46,14.58,100,32
61,port elizabeth,ZA,-33.918,25.5701,1655305625,50.31,1.99,64,88
62,kurchum,KZ,48.5722,83.6542,1655305626,64.2,7.67,69,74
63,mpanda,TZ,-6.3655,31.0409,1655305626,81.57,3.29,44,38
64,kadi,IN,23.3,72.3333,1655305627,91.26,12.55,84,48
65,diu,IN,20.7141,70.9822,1655305627,85.71,14.05,20,75
66,lagoa,PT,39.05,-27.9833,1655305627,63.66,11.25,0,88
67,laguna,US,38.421,-121.4238,1655305628,77.02,5.75,0,42
68,constantine,DZ,36.365,6.6147,1655305393,99.81,9.22,0,14
69,norman wells,CA,65.282,-126.8329,1655305628,49.71,7.54,92,82
70,upernavik,GL,72.7868,-56.1549,1655305629,30.15,8.46,76,69
71,bend,US,44.0582,-121.3153,1655305629,53.15,5.99,0,60
72,vardo,NO,70.3705,31.1107,1655305629,44.58,13.8,75,87
73,dalby,AU,-27.1833,151.2667,1655305365,61.41,1.74,100,64
74,alofi,NU,-19.0595,-169.9187,1655305630,78.49,18.01,81,74
75,verkhnyaya inta,RU,65.9811,60.3094,1655305630,60.17,9.57,92,64
76,general roca,AR,-39.0333,-67.5833,1655305631,52.72,4.41,59,48
77,klaksvik,FO,62.2266,-6.589,1655305631,52.72,12.1,100,96
78,narsaq,GL,60.9167,-46.05,1655305632,55.62,9.93,7,58
79,cabo san lucas,MX,22.8909,-109.9124,1655305632,86.61,4.0,0,48
80,khatanga,RU,71.9667,102.5,1655305632,61.21,11.97,37,36
81,richards bay,ZA,-28.783,32.0377,1655305633,63.99,11.27,32,54
82,storslett,NO,69.7678,21.0247,1655305389,50.0,10.36,75,71
83,utiel,ES,39.5667,-1.2,1655305633,98.64,12.75,100,13
84,avera,US,33.194,-82.5271,1655305634,92.55,4.09,36,46
85,clearwater,US,27.9659,-82.8001,1655305481,91.02,5.75,75,70
86,axim,GH,4.8699,-2.2405,1655305036,76.06,9.64,100,92
87,yaan,NG,7.3833,8.5667,1655305634,86.29,4.38,87,61
88,ulaangom,MN,49.9811,92.0667,1655305635,65.21,8.5,77,62
89,zeya,RU,53.75,127.2667,1655305635,56.28,3.56,96,86
90,ixtapa,MX,20.7,-105.2,1655305636,82.22,4.61,75,78
91,san vicente,AR,-26.6167,-54.1333,1655305636,67.71,5.91,14,46
92,east london,ZA,-33.0153,27.9116,1655305636,56.82,26.53,48,62
93,kloulklubed,PW,7.0419,134.2556,1655305637,77.5,11.7,87,77
94,kanor,IN,24.4333,74.2667,1655305637,91.76,13.51,76,43
95,jamestown,US,42.097,-79.2353,1655305366,81.99,4.0,36,79
96,bengkulu,ID,-3.8004,102.2655,1655305638,76.24,4.05,100,89
97,atuona,PF,-9.8,-139.0333,1655305638,78.01,20.71,86,68
98,chokurdakh,RU,70.6333,147.9167,1655305638,60.04,8.21,100,36
99,chuy,UY,-33.6971,-53.4616,1655305639,61.47,4.59,56,60
100,hermanus,ZA,-34.4187,19.2345,1655305639,56.8,2.1,15,59
101,clyde river,CA,70.4692,-68.5914,1655305396,37.63,4.61,100,100
102,discovery bay,US,37.9085,-121.6002,1655305640,77.38,6.82,0,45
103,castro,BR,-24.7911,-50.0119,1655305640,56.98,1.34,100,74
104,samarai,PG,-10.6167,150.6667,1655305641,80.46,10.38,100,80
105,shingu,JP,33.7333,135.9833,1655305641,67.78,1.7,100,93
106,safaga,EG,26.7292,33.9365,1655305641,88.48,21.47,0,44
107,barrow,US,71.2906,-156.7887,1655305642,33.82,6.91,100,100
108,ulu-telyak,RU,54.9086,56.9669,1655305642,65.59,4.03,99,80
109,bonthe,SL,7.5264,-12.505,1655305642,82.53,12.24,100,69
110,saskylakh,RU,71.9167,114.0833,1655305643,48.78,8.9,1,45
111,mahebourg,MU,-20.4081,57.7,1655305643,71.26,20.04,42,78
112,ballina,AU,-28.8667,153.5667,1655305644,57.02,6.08,0,97
113,chernyshevskiy,RU,63.0128,112.4714,1655305644,57.51,3.91,40,63
114,nikolskoye,RU,59.7035,30.7861,1655305644,58.78,13.4,100,96
115,zyryanka,RU,65.75,150.85,1655305645,56.97,6.49,100,60
116,saint-pierre,RE,-21.3393,55.4781,1655305645,73.9,3.44,20,73
117,shimanovsk,RU,52.0,127.7,1655305646,57.22,5.39,74,98
118,coroico,BO,-16.1889,-67.7271,1655305646,71.01,4.65,0,38
119,porbandar,IN,21.6422,69.6093,1655305646,86.2,15.37,61,75
120,cururupu,BR,-1.8283,-44.8683,1655305647,87.58,8.32,49,50
121,los llanos de aridane,ES,28.6585,-17.9182,1655305647,73.15,12.66,40,77
122,college,US,64.8569,-147.8028,1655305648,54.28,0.0,75,85
123,bemidji,US,47.4736,-94.8803,1655305600,72.55,10.36,0,62
124,the valley,AI,18.217,-63.0578,1655305648,85.1,17.27,20,74
125,mayumba,GA,-3.432,10.6554,1655305648,77.43,9.64,22,73
126,montrose,US,38.4166,-108.2673,1655305503,59.45,1.39,0,15
127,talnakh,RU,69.4865,88.3972,1655305649,69.94,10.65,89,47
128,sao felix do xingu,BR,-6.6447,-51.995,1655305649,88.66,7.87,26,42
129,hambantota,LK,6.1241,81.1185,1655305650,80.94,3.44,40,94
130,thompson,CA,55.7435,-97.8558,1655305650,62.17,12.8,97,72
131,saint anthony,US,45.0205,-93.218,1655305650,71.53,11.5,40,65
132,vanimo,PG,-2.6741,141.3028,1655305651,78.93,6.22,95,87
133,tomatlan,MX,19.9333,-105.25,1655305651,83.3,0.78,100,61
134,calama,CL,-22.4667,-68.9333,1655305652,55.89,14.97,0,5
135,izhma,RU,65.0083,53.9113,1655305652,69.48,5.84,1,30
136,butaritari,KI,3.0707,172.7902,1655305652,82.17,11.92,100,74
137,watsa,CD,3.0372,29.5355,1655305653,70.12,3.6,95,82
138,kavaratti,IN,10.5669,72.642,1655305653,83.39,20.6,100,74
139,katsuura,JP,35.1333,140.3,1655305654,66.67,6.55,100,93
140,danilov,RU,58.1908,40.1717,1655305654,62.08,11.77,48,64
141,duiwelskloof,ZA,-23.6934,30.14,1655305654,68.02,4.47,1,33
142,faanui,PF,-16.4833,-151.75,1655305655,79.93,20.24,24,76
143,mendi,PG,-6.1761,143.6513,1655305655,53.94,3.44,82,97
144,gashua,NG,12.871,11.0482,1655305655,102.16,7.16,68,21
145,fortuna,US,40.5982,-124.1573,1655305656,54.93,1.01,100,92
146,marystown,CA,47.1666,-55.1483,1655305656,55.44,7.25,100,63
147,basco,PH,20.4487,121.9702,1655305657,84.49,6.96,62,74
148,georgetown,MY,5.4112,100.3354,1655305657,80.53,8.05,40,85
149,platanos,GR,37.6667,21.6167,1655305435,84.85,13.13,94,82
150,westport,US,41.1415,-73.3579,1655305634,80.98,10.36,0,73
151,sungaipenuh,ID,-2.0833,101.3833,1655305658,63.48,1.83,93,97
152,correntina,BR,-13.3433,-44.6367,1655305658,84.83,6.78,84,37
153,karpogory,RU,64.0019,44.4451,1655305659,73.2,11.65,100,44
154,bredasdorp,ZA,-34.5322,20.0403,1655305659,53.58,4.97,11,63
155,arraial do cabo,BR,-22.9661,-42.0278,1655305659,73.26,9.22,40,49
156,mar del plata,AR,-38.0023,-57.5575,1655305660,58.95,2.15,87,63
157,mehamn,NO,71.0357,27.8492,1655305390,44.55,9.22,75,93
158,port lincoln,AU,-34.7333,135.8667,1655305660,56.35,8.48,17,82
159,ketchikan,US,55.3422,-131.6461,1655305500,54.07,5.75,0,82
160,maltahohe,NA,-24.8333,16.9833,1655305661,56.97,12.59,0,28
161,saint charles,US,38.7667,-90.7335,1655305661,89.98,11.5,0,64
162,constitucion,CL,-35.3333,-72.4167,1655305661,54.99,2.82,3,76
163,forbes,AU,-33.3833,148.0167,1655305662,43.52,8.25,11,77
164,torbay,CA,47.6666,-52.7314,1655305662,53.28,11.01,100,68
165,hamilton,US,39.1834,-84.5333,1655305663,90.09,8.05,0,66
166,esperance,AU,-33.8667,121.9,1655305663,56.19,10.22,1,59
167,sao mateus,BR,-18.7161,-39.8589,1655305663,77.25,7.4,100,47
168,buala,SB,-8.145,159.5921,1655305664,80.08,10.33,100,83
169,clarence town,AU,-32.5833,151.7833,1655305664,49.91,3.4,0,75
170,rawson,AR,-43.3002,-65.1023,1655305664,48.65,2.28,8,61
171,kiruna,SE,67.8557,20.2251,1655305665,49.12,11.5,100,71
172,waipawa,NZ,-41.4122,175.5153,1655305665,45.81,4.29,96,81
173,longyearbyen,SJ,78.2186,15.6401,1655305666,40.84,16.11,75,75
174,beringovskiy,RU,63.05,179.3167,1655305666,38.66,5.64,14,89
175,anadyr,RU,64.75,177.4833,1655305666,39.0,17.0,27,93
176,byron bay,AU,-28.65,153.6167,1655305667,56.95,4.54,0,84
177,concarneau,FR,47.875,-3.9225,1655305667,81.39,10.02,4,56
178,liverpool,GB,53.4106,-2.9779,1655305566,74.28,11.5,0,54
179,saint george,US,37.1041,-113.5841,1655305668,74.43,3.44,0,17
180,carauari,BR,-4.8828,-66.8958,1655305668,80.37,1.74,37,79
181,pimentel,PE,-6.8367,-79.9342,1655305669,68.29,13.8,0,60
182,mont-de-marsan,FR,44.0,-0.6667,1655305669,96.44,4.61,0,46
183,xai-xai,MZ,-25.0519,33.6442,1655305670,69.13,16.84,47,75
184,port hardy,CA,50.6996,-127.4199,1655305396,50.34,1.1,100,82
185,iranshahr,IR,27.2025,60.6848,1655305670,106.65,11.63,0,9
186,port hedland,AU,-20.3167,118.5667,1655305670,66.25,5.75,46,72
187,kismayo,SO,-0.3582,42.5454,1655305671,79.79,14.05,1,78
188,chumikan,RU,54.7183,135.315,1655305671,35.56,3.62,100,100
189,amapa,BR,1.0,-52.0,1655305672,83.91,6.31,50,62
190,metro,ID,-5.1131,105.3067,1655305672,74.55,3.89,100,87
191,codrington,AU,-38.2667,141.9667,1655305672,55.35,17.56,95,91
192,vila franca do campo,PT,37.7167,-25.4333,1655305673,71.2,8.37,74,80
193,kuryk,KZ,43.2,51.65,1655305673,83.52,8.37,44,41
194,tuktoyaktuk,CA,69.4541,-133.0374,1655305674,36.95,8.97,6,73
195,nanortalik,GL,60.1432,-45.2371,1655305674,38.43,4.36,62,88
196,ardahan,TR,41.1087,42.7022,1655305674,57.85,7.31,66,82
197,alice town,BS,25.7167,-79.3,1655305675,82.72,7.87,96,71
198,provideniya,RU,64.3833,-173.3,1655305675,36.34,6.29,89,94
199,majene,ID,-3.5403,118.9707,1655305676,78.64,5.55,100,89
200,bairiki,KI,1.3292,172.9752,1655305676,80.6,5.75,20,83
201,broken hill,AU,-31.95,141.4333,1655305676,54.54,9.19,97,75
202,chitipa,MW,-9.7024,33.2697,1655305677,72.63,6.89,82,56
203,garowe,SO,8.4054,48.4845,1655305677,91.09,20.87,14,26
204,norilsk,RU,69.3535,88.2027,1655305394,69.35,13.24,92,48
205,vostok,RU,46.4856,135.8833,1655305678,52.03,3.18,100,87
206,victoria,HK,22.2855,114.1577,1655305589,77.95,1.01,100,94
207,pangnirtung,CA,66.1451,-65.7125,1655305678,38.64,0.56,100,98
208,tura,IN,25.5198,90.2201,1655305679,72.66,4.74,100,98
209,mangan,IN,27.5167,88.5333,1655305679,74.1,0.34,100,99
210,algarrobo,CO,10.1869,-74.5753,1655305679,83.28,7.9,45,73
211,halifax,CA,44.6453,-63.5724,1655305443,65.52,15.01,60,73
212,hay river,CA,60.8156,-115.7999,1655305680,56.64,6.4,100,53
213,dikson,RU,73.5069,80.5464,1655305680,38.44,7.09,34,76
214,ribeira grande,PT,38.5167,-28.7,1655305681,70.2,6.91,40,78
215,gornopravdinsk,RU,60.05,69.9,1655305681,55.0,6.17,100,76
216,vao,NC,-22.6667,167.4833,1655305681,73.04,22.32,100,83
217,kenai,US,60.5544,-151.2583,1655305682,50.09,9.22,0,88
218,talakan,RU,50.3167,130.3667,1655305682,58.21,4.14,100,96
219,mayo,US,38.8876,-76.5119,1655305683,88.12,8.05,0,65
220,lagunas,PE,-5.2269,-75.6753,1655305683,81.64,1.14,34,56
221,santa vitoria do palmar,BR,-33.5189,-53.3681,1655305510,60.87,4.5,21,60
222,dickinson,US,29.4608,-95.0513,1655305399,91.08,10.36,20,73
223,coahuayana,MX,18.7333,-103.6833,1655305684,86.52,0.72,99,63
224,atherton,GB,53.5237,-2.4935,1655305422,76.28,3.0,100,51
225,tiksi,RU,71.6872,128.8694,1655305684,36.43,13.89,100,79
226,zhangye,CN,38.9342,100.4517,1655305685,78.82,4.79,70,9
227,itaituba,BR,-4.2761,-55.9836,1655305685,83.8,4.61,59,70
228,simeykyne,UA,48.3264,39.5337,1655305685,66.69,4.43,100,73
229,margate,GB,51.3813,1.3862,1655305686,74.1,10.25,79,50
230,dzaoudzi,YT,-12.7887,45.2699,1655305686,80.49,4.61,20,78
231,gold coast,AU,-28.0,153.4333,1655305687,57.99,6.91,0,96
232,pingliang,CN,35.5392,106.6861,1655305687,69.58,7.14,0,38
233,henties bay,NA,-22.116,14.2845,1655305688,63.03,9.04,1,56
234,berlevag,NO,70.8578,29.0864,1655305688,44.6,8.05,75,87
235,nerchinskiy zavod,RU,51.3088,119.61,1655305688,54.1,3.69,98,93
236,lerwick,GB,60.1545,-1.1494,1655305689,53.6,14.32,100,91
237,madridejos,ES,39.4682,-3.532,1655305422,96.73,10.29,99,9
238,bethel,US,41.3712,-73.414,1655305439,80.15,1.01,0,59
239,nouadhibou,MR,20.931,-17.0347,1655305664,65.82,25.93,8,88
240,ust-omchug,RU,61.15,149.6333,1655305689,43.14,2.46,100,94
241,staryy nadym,RU,65.6118,72.6842,1655305690,60.24,15.99,100,54
242,lompoc,US,34.6391,-120.4579,1655305690,68.77,3.44,0,76
243,souillac,MU,-20.5167,57.5167,1655305690,72.82,17.94,37,79
244,evensk,RU,61.95,159.2333,1655305691,41.56,6.93,100,88
245,srednekolymsk,RU,67.45,153.6833,1655305691,56.1,9.51,28,43
246,roald,NO,62.5833,6.1333,1655305692,61.72,8.05,75,77
247,pevek,RU,69.7008,170.3133,1655305692,29.95,5.41,4,80
248,ostrovnoy,RU,68.0531,39.5131,1655305692,55.83,15.01,100,60
249,daru,PG,-9.0763,143.2092,1655305693,79.39,14.88,78,87
250,qaanaaq,GL,77.484,-69.3632,1655305693,30.13,1.63,22,60
251,barcelos,PT,41.5388,-8.6151,1655305455,82.85,4.54,100,42
252,shemonaikha,KZ,50.6328,81.9056,1655305694,58.71,6.29,100,90
253,fairbanks,US,64.8378,-147.7164,1655305694,54.3,0.0,75,84
254,carnarvon,AU,-24.8667,113.6333,1655305694,69.87,9.22,75,94
255,tayu,ID,-6.5397,111.0518,1655305695,79.57,8.99,50,86
256,sitka,US,57.0531,-135.33,1655305695,51.69,4.61,40,76
257,chicama,PE,-7.8447,-79.1469,1655305696,63.14,6.73,18,65
258,coruripe,BR,-10.1256,-36.1756,1655305696,76.93,15.73,98,83
259,bestobe,KZ,52.4994,73.0975,1655305696,59.22,8.03,60,84
260,lethem,GY,3.3803,-59.7968,1655305697,83.62,6.38,22,72
261,isangel,VU,-19.55,169.2667,1655305697,75.83,12.93,74,85
262,guano,EC,-1.5833,-78.6333,1655305698,55.76,5.75,40,72
263,opuwo,NA,-18.0607,13.84,1655305698,79.43,4.25,0,13
264,flinders,AU,-34.5833,150.8552,1655305698,56.37,1.99,7,58
265,bathsheba,BB,13.2167,-59.5167,1655305699,86.61,23.02,40,74
266,kavieng,PG,-2.5744,150.7967,1655305699,81.72,10.13,85,78
267,terra rica,BR,-22.7094,-52.6169,1655305700,71.87,10.58,35,49
268,shaunavon,CA,49.6501,-108.4181,1655305700,49.84,29.21,100,93
269,san javier,ES,37.8063,-0.8374,1655305700,99.09,4.61,0,55
